TRADE_DT,CODE,CLOSE
2026-06-01,000852.SH,8345.1291
2026-06-02,000852.SH,8384.7812
2026-06-03,000852.SH,8432.679
2026-06-04,000852.SH,8420.0946
2026-06-05,000852.SH,8340.9631
2026-06-08,000852.SH,8081.2614
2026-06-09,000852.SH,8318.6978
2026-06-10,000852.SH,8198.7232
2026-06-11,000852.SH,8159.4548
2026-06-12,000852.SH,8202.7991
2026-06-15,000852.SH,8521.233
2026-06-16,000852.SH,8646.4034
2026-06-17,000852.SH,8704.4677
2026-06-18,000852.SH,8771.0244
2026-06-22,000852.SH,8865.676
2026-06-23,000852.SH,8680.0387
2026-06-24,000852.SH,8793.4866
2026-06-25,000852.SH,8825.9201
2026-06-26,000852.SH,8601.4075
2026-06-29,000852.SH,8597.8932
2026-06-30,000852.SH,8809.7859
2026-07-01,000852.SH,8876.6303
2026-07-02,000852.SH,8625.3336
2026-07-03,000852.SH,8620.7886
2026-07-06,000852.SH,8472.6028
2026-07-07,000852.SH,8301.8035
2026-07-08,000852.SH,8117.8607
2026-07-09,000852.SH,8300.077
2026-07-10,000852.SH,8198.3078
2026-07-13,000852.SH,7787.8529
2026-07-14,000852.SH,7925.1232
2026-07-15,000852.SH,7817.8313
2026-07-16,000852.SH,7631.7622
2026-07-17,000852.SH,7167.9959
2026-07-20,000852.SH,6965.3757
2026-07-21,000852.SH,7259.863
2026-07-22,000852.SH,7158.7622
2026-07-23,000852.SH,7195.4997
2026-07-24,000852.SH,6995.6931
2026-07-27,000852.SH,7228.7845
2026-07-28,000852.SH,7026.2761
2026-07-29,000852.SH,7095.1863
