TRADE_DT,EXPIRY,EXPIRY_CODE,MODEL,10CALL,25CALL,75PUT,90PUT,ATM,SKEW_25D,BF_25D,SKEW_10D
2026-06-01,2026-06-22,2606,QUADRATIC,0.26526792927854137,0.2558220120665999,0.25803756060323335,0.26991499635926924,0.25333485512041254,-0.0022155485366334715,0.003594931214504049,-0.0046470670807278736
2026-06-01,2026-07-17,2607,QUADRATIC,0.28875240741576186,0.28142918324659927,0.28351437851018524,0.29297749829103054,0.2796053690616931,-0.0020851952635859705,0.002866411816699166,-0.004225090875268678
2026-06-01,2026-08-21,2608,QUADRATIC,0.2967400384570825,0.2744896913245507,0.28691866200016397,0.3274741550864953,0.27230504108694825,-0.012428970675613271,0.008399135575409111,-0.030734116629412778
2026-06-01,2026-09-18,2609,QUADRATIC,0.30362800774250304,0.28240999972819936,0.27801788888112383,0.29265001797791057,0.27431734108048156,0.0043921108470755255,0.005896603224180064,0.010977989764592466
2026-06-01,2026-12-18,2612,QUADRATIC,0.2936141241742984,0.27901042931874726,0.27744696368120886,0.28954978493473355,0.2737940397243079,0.001563465637538397,0.004434656775670176,0.00406433923956484
2026-06-01,2027-03-19,2703,QUADRATIC,0.27913343764406406,0.2689178542853472,0.28272162583343274,0.3100008773983321,0.27131442766109504,-0.013803771548085542,0.004505312398294936,-0.030867439754268033
2026-06-02,2026-06-22,2606,QUADRATIC,0.26053773820972204,0.25133997589174073,0.2534373491235412,0.2649335438065835,0.24889142825294208,-0.002097373231800481,0.003497234254698889,-0.0043958055968614795
2026-06-02,2026-07-17,2607,QUADRATIC,0.2824718271285356,0.2748512060648383,0.2803769756953179,0.2940847960125016,0.2741502681953043,-0.005525769630479571,0.0034638226847737985,-0.011612968883966013
2026-06-02,2026-08-21,2608,QUADRATIC,0.28567820488307627,0.2695168294069644,0.2924816376913646,0.34537632691930886,0.27244545828915084,-0.022964808284400173,0.008553775260013663,-0.05969812203623259
2026-06-02,2026-09-18,2609,QUADRATIC,0.3037849091525896,0.2834984644141484,0.27956178089884054,0.2939800744994471,0.2758032715727123,0.003936683515307848,0.005726851083782181,0.009804834653142525
2026-06-02,2026-12-18,2612,QUADRATIC,0.288661000281317,0.2786728993921054,0.2786920462942671,0.2883765632121336,0.27539146093287264,-1.9146902161704116e-05,0.0032910119103136126,0.0002844370691834075
2026-06-02,2027-03-19,2703,QUADRATIC,0.27546758652972037,0.26566864573051535,0.28237653893847636,0.3135763916762991,0.2693136756676424,-0.01670789320796101,0.004708916666853469,-0.03810880514657872
2026-06-03,2026-06-22,2606,QUADRATIC,0.24702493178660778,0.24182083708989574,0.24892457654790182,0.2620279963729843,0.24235310440415928,-0.007103739458006075,0.003019602414739503,-0.015003064586376513
2026-06-03,2026-07-17,2607,QUADRATIC,0.26499881147477317,0.2614698623683897,0.2750023158326715,0.29387785732230254,0.26488350716802056,-0.01353245346428178,0.0033525819325100348,-0.028879045847529372
2026-06-03,2026-08-21,2608,QUADRATIC,0.26380547657819464,0.24983486543379446,0.3026775161630877,0.46992576003998765,0.26224271561481327,-0.05284265072929323,0.014013475183627833,-0.206120283461793
2026-06-03,2026-09-18,2609,QUADRATIC,0.2917556767884362,0.27438726976010197,0.27820406448028223,0.2997657727674256,0.270409570693766,-0.003816794720180261,0.005886096426426124,-0.008010095978989384
2026-06-03,2026-12-18,2612,QUADRATIC,0.2866873447082874,0.2739529606840797,0.275916527612825,0.2904083998903078,0.2706753642351985,-0.001963566928745275,0.0042593799132538135,-0.0037210551820204274
2026-06-03,2027-03-19,2703,QUADRATIC,0.2586355732993967,0.25872414729118437,0.2898209517629092,0.3294940577566391,0.2710259537883895,-0.031096804471724804,0.0032465957386572653,-0.07085848445724241
2026-06-04,2026-06-22,2606,QUADRATIC,0.2499672333395139,0.24532138469584658,0.2532120395774035,0.26658339542648396,0.2463023212642912,-0.007890654881556936,0.0029643908723338552,-0.01661616208697006
2026-06-04,2026-07-17,2607,QUADRATIC,0.2659487634009541,0.26251361705622084,0.2769905319788708,0.2969772227034604,0.26627251549889863,-0.014476914922649964,0.0034795590186471603,-0.031028459302506306
2026-06-04,2026-08-21,2608,QUADRATIC,0.26819970295145046,0.24929184174640218,0.300114475236092,0.4866831199086186,0.2597886394420418,-0.05082263348968985,0.014914519049205321,-0.21848341695716816
2026-06-04,2026-09-18,2609,QUADRATIC,0.2942738701948861,0.2741179784014352,0.2770585595433549,0.300148407770958,0.2691116922344396,-0.002940581141919696,0.006476576737955486,-0.005874537576071925
2026-06-04,2026-12-18,2612,QUADRATIC,0.2828628356600518,0.27371363936186954,0.2762850556224348,0.2880058763432158,0.2717097161724388,-0.0025714162605652846,0.003289631319713382,-0.0051430406831639575
2026-06-04,2027-03-19,2703,QUADRATIC,0.26266896555867,0.25510117365470436,0.2884813595063299,0.3476964424521698,0.26559016551999587,-0.033380185851625555,0.006201101060521241,-0.08502747689349982
