date,OPTION_MARGIN,SHORT_OPTION_CONTRACTS,LONG_OPTION_CONTRACTS,FUTURES_MARGIN,FUTURES_CONTRACTS,ABS_FUTURES_CONTRACTS,TOTAL_MARGIN,NET_OPENING_PREMIUM_COST,OPTION_OPENING_FEE,FUTURES_OPENING_FEE,OPENING_FEE,CUMULATIVE_PNL_BEFORE_OPENING,REQUIRED_INITIAL_CAPITAL
2026-06-01,5513418.855400001,86,81,2635264.0,-20,20,8148682.855400001,9240.0,2505.0,757.6384,3262.6384,0.0,8161185.4938
2026-06-02,5499703.727200001,87,83,2641920.0,-20,20,8141623.727200001,6520.0,135.0,0.0,135.0,-41582.638399997144,8189861.365599997
2026-06-03,6140773.291999999,93,90,2787388.8000000003,-21,21,8928162.092,-99180.0,3645.0,38.16067999999999,3683.16068,-120017.63839999418,8952682.891079994
2026-06-04,6208318.8884,95,92,2915968.0,-22,22,9124286.8884,-121300.0,90.0,38.1064,128.1064,-130380.7990799972,9133495.793879997
2026-06-05,4621250.332,63,59,2360946.7378210872,-18,18,6982197.069821088,-252979.99999999994,4635.0,1510.0289871235625,6145.028987123563,-107188.90547999721,6842551.004288209
2026-06-08,6166493.004799999,91,103,3328249.6,-26,26,9494742.604799999,1120.0,4740.0,1614.9538599112843,6354.953859911284,58495.07476236475,9443722.483897544
2026-06-09,4119378.7155999998,57,57,1963970.094346904,-15,15,6083348.809946904,-301260.0,4620.0,1539.8358821247348,6159.835882124735,-97739.87909754548,5885988.524926574
2026-06-10,4106295.7696,58,59,1936080.6385241053,-15,15,6042376.408124106,-280940.0,1485.0,0.0,1485.0,26518.482805313484,5736402.925318792
2026-06-11,3913863.0472,56,56,1798758.3788530738,-14,14,5712621.426053073,-395120.0,1665.0,36.93878813716134,1701.9387881371613,23107.461860105803,5296095.902981105
2026-06-12,4188107.0857999995,61,56,1937914.812402619,-15,15,6126021.898202619,-211720.00000000003,1575.0,37.143367237716866,1612.1433672377168,131339.11403816773,5784574.9275316885
2026-06-15,2691323.318,41,39,1055308.8,-8,8,3746632.118,-19260.0,2955.0,861.6591950409966,3816.6591950409966,849738.8630516423,2881449.9141433984
2026-06-16,2601238.3956,39,36,1068672.0,-8,8,3669910.3956,-32260.0,495.0,0.0,495.0,852142.203856602,2786003.191743398
2026-06-17,2726545.5141999996,39,35,1080960.0,-8,8,3807505.5141999996,-80220.0,135.0,0.0,135.0,789087.2038566018,2938333.310343398
2026-06-18,2784756.9751999998,40,36,1089280.0,-8,8,3874036.9751999998,-35000.0,90.0,0.0,90.0,802712.2038566018,3036414.771343398
2026-06-22,2772076.296,41,37,1227484.8,-9,9,3999561.096,53420.000000000015,930.0,39.21132000000001,969.21132,872082.2038566007,3181868.103463399
2026-06-23,4158270.742800001,62,58,1771120.0,-13,13,5929390.742800001,-91460.00000000003,2970.0,857.0812,3827.0812,833892.992536602,5007864.831463399
2026-06-24,3025681.7604,44,39,1220025.5999999999,-9,9,4245707.3604,-84400.0,3045.0,863.12376,3908.12376,808925.911336602,3356289.572823398
2026-06-25,3077936.9488,44,42,1363808.0,-10,10,4441744.948799999,-18380.000000000015,1065.0,39.20947999999999,1104.20948,769317.7875766025,3655151.3707033964
2026-06-26,3078690.8049999997,45,44,1331072.0,-10,10,4409762.805,-95920.0,2355.0,0.0,2355.0,787353.5780965997,3528844.2269034
2026-06-29,3187538.0392000005,47,44,1329376.0,-10,10,4516914.0392,-123040.0,30.0,0.0,30.0,798138.5780966004,3595765.4611034
2026-06-30,3328178.59,48,44,1360672.0,-10,10,4688850.59,-152640.0,1995.0,0.0,1995.0,724348.5780965997,3813857.0119034
2026-07-01,5982137.609600004,74,77,2344803.2,17,17,8326940.809600004,45960.0,3645.0,1065.94052,4710.94052,777873.5780966004,7599738.172023403
2026-07-02,5792874.84,76,81,2440224.0,18,18,8233098.84,60959.99999999997,4080.0,38.9758,4118.9758,777102.6375765991,7521075.178223401
2026-07-03,3632463.0992,49,50,1473648.0,11,11,5106111.0992,93480.0,3840.0,1124.85732,4964.85732,803263.6617765978,4401292.294743403
2026-07-06,3460151.6016000006,50,52,1454640.0,11,11,4914791.601600001,103240.0,2895.0,0.0,2895.0,776278.8044565979,4244647.7971434025
2026-07-07,3792839.3279999997,55,56,1558118.4000000001,12,12,5350957.728,75120.0,1065.0,37.32992,1102.32992,701103.8044565974,4726076.253463403
2026-07-08,1902118.2128,25,27,743059.2000000001,6,6,2645177.4128,7460.0,2445.0,653.79432,3098.79432,652201.474536598,2003534.732583402
2026-07-09,6437271.849999998,92,98,3020176.0,23,23,9457447.849999998,86880.0,3630.0,1086.2302,4716.2302,677782.6802165982,8871261.3999834
2026-07-10,6619638.010800002,95,100,2850918.4,22,22,9470556.410800003,-3140.000000000029,4875.0,37.25632,4912.25632,555586.4500165973,8916742.217103405
2026-07-13,1996296.719,26,27,835475.2000000001,7,7,2831771.919,-94020.0,3720.0,1024.49912,4744.49912,617934.1936965979,2124562.224423402
2026-07-14,3612939.6672,55,58,1495296.0,12,12,5108235.6672,31179.99999999997,2490.0,673.43908,3163.43908,663549.694576597,4479029.411703403
