date,ACTUAL_PNL,MARKET_PNL,MODEL_PNL,DELTA_PNL,SMILE_ROLL_PNL,ATM_PNL,SKEW_PNL,CURV_PNL,TAU_PNL,R_PNL,MARKET_NOISE,MODEL_RESIDUAL,TOTAL_RESIDUAL,FEE_PNL
2026-06-02,-41582.638399997144,-38319.99999999714,-32917.36984590182,-1188.3917304533243,-3723.22938329667,-593.6178715815167,-27119.5709903363,-362.2082086950304,69.64833846096008,0.0,-5402.6301540953245,5.820766091346741e-11,-5402.630154095266,-3262.6384
2026-06-03,-120017.63839999418,-116619.99999999418,-112628.32561570122,-6561.15063412083,-12034.081469427227,-3254.213175635945,-90145.96498930799,-778.8801053984087,145.96475818908675,0.0,-3991.6743842929536,8.731149137020111e-11,-3991.6743842928663,-3397.6384
2026-06-04,-130380.7990799972,-123299.9999999972,-117258.8419319616,-7071.501866527433,-9325.995996107427,-3257.7522684600253,-98298.53734979723,-795.7092888662816,1490.6548377967256,0.0,-6041.158068035617,8.003553375601768e-11,-6041.158068035537,-7080.79908
2026-06-05,-107188.90547999721,-99979.9999999972,-97620.54109156167,-9545.691449438113,6844.713942345274,-6660.986081342163,-91135.510091705,-1387.161196325465,4264.093784903758,0.0,-2359.4589084355443,4.001776687800884e-11,-2359.4589084355043,-7208.905479999999
2026-06-08,58495.07476236475,71849.00922948832,60569.768340222305,-18885.52064704884,119334.6398314339,-26761.92811915208,-10672.167646680784,-18080.597342551475,15635.342264221552,0.0,11279.240889266,4.001776687800884e-11,11279.24088926604,-13353.934467123563
2026-06-09,-97739.87909754548,-78030.99077051063,-77502.48001858091,-23878.360066935427,64662.33927454379,-66809.39706628828,-44141.69625401591,-19074.252999015698,11738.88709313051,0.0,-528.5107519297198,9.822542779147625e-11,-528.5107519296216,-19708.888327034845
2026-06-10,26518.482805313484,52387.20701447307,7961.939811330754,-24504.24461851392,115130.25948432405,-68034.62124416124,-9311.539737339634,-19496.40964561861,14178.49557263996,0.0,44425.26720314231,1.418811734765768e-10,44425.26720314245,-25868.72420915958
2026-06-11,23107.461860105803,50461.186069265386,9883.219989725316,-27254.45692234896,130611.67951300112,-69014.55918654059,-21536.355142367982,-19450.59256422262,16527.50429220416,0.0,40577.96607954007,1.8894752429332584e-10,40577.96607954026,-27353.72420915958
2026-06-12,131339.11403816773,160394.77703546447,130224.28348875062,-26266.06919730857,114425.96129444789,-67753.002133004,112731.25006014848,-21345.705323644495,18431.848788111136,0.0,30170.493546713853,1.8894752429332584e-10,30170.493546714042,-29055.662997296742
2026-06-15,849738.8630516423,880406.6694161769,743121.0693901761,-26706.591357325626,114867.87974671199,-55343.373224325616,723180.940255879,-25854.08988034318,12976.303849579588,0.0,137285.6000260006,1.8894752429332584e-10,137285.6000260008,-30667.80636453446
2026-06-16,852142.203856602,886626.6694161776,745866.6329210859,-20037.796332261714,100310.85508391971,-52693.9119102602,731718.0759336853,-25897.257326448816,12466.667472451696,0.0,140760.03649509142,1.8485479813534766e-10,140760.0364950916,-34484.46555957546
2026-06-17,789087.2038566018,824066.6694161774,692667.2165463483,-24466.227773676,86749.39219569755,-51834.88408759676,695750.7671932584,-25879.09222276077,12347.261241425902,0.0,131399.45286982897,1.921307557495311e-10,131399.45286982914,-34979.46555957546
2026-06-18,802712.2038566018,837826.6694161776,704007.6269256725,-25474.33317010502,77367.60840687633,-52494.87690114734,718733.063996481,-26499.838916878252,12376.003510445815,0.0,133819.04249050477,1.6848389350343496e-10,133819.04249050491,-35114.46555957546
