date,expiry,FIRST_DELTA_EXPOSURE,SECOND_DELTA_DELTA_EXPOSURE,FIRST_SMILE_ROLL_EXPOSURE,SECOND_SMILE_ROLL_SMILE_ROLL_EXPOSURE,FIRST_ATM_EXPOSURE,SECOND_ATM_ATM_EXPOSURE,FIRST_SKEW_EXPOSURE,SECOND_SKEW_SKEW_EXPOSURE,FIRST_CURV_EXPOSURE,SECOND_CURV_CURV_EXPOSURE,FIRST_TAU_EXPOSURE,SECOND_TAU_TAU_EXPOSURE,FIRST_R_EXPOSURE,SECOND_R_R_EXPOSURE,CROSS_DELTA_SMILE_ROLL_EXPOSURE,CROSS_DELTA_ATM_EXPOSURE,CROSS_DELTA_SKEW_EXPOSURE,CROSS_DELTA_CURV_EXPOSURE,CROSS_DELTA_TAU_EXPOSURE,CROSS_DELTA_R_EXPOSURE,CROSS_SMILE_ROLL_ATM_EXPOSURE,CROSS_SMILE_ROLL_SKEW_EXPOSURE,CROSS_SMILE_ROLL_CURV_EXPOSURE,CROSS_SMILE_ROLL_TAU_EXPOSURE,CROSS_SMILE_ROLL_R_EXPOSURE,CROSS_ATM_SKEW_EXPOSURE,CROSS_ATM_CURV_EXPOSURE,CROSS_ATM_TAU_EXPOSURE,CROSS_ATM_R_EXPOSURE,CROSS_SKEW_CURV_EXPOSURE,CROSS_SKEW_TAU_EXPOSURE,CROSS_SKEW_R_EXPOSURE,CROSS_CURV_TAU_EXPOSURE,CROSS_CURV_R_EXPOSURE,CROSS_TAU_R_EXPOSURE
2026-06-01,2026-07-17,-14.415894318633946,0.04100859047321148,1298544.991057468,-88318.86660749605,23314.609226363245,576147.9776624124,999980.5841444815,12410.938671497468,85.4577362036598,49.23077928380047,-59663.8968290356,536743.5964563529,-118.96921066068171,33.7902545450379,-161.44804747486506,11930.281710409954,74.68800532880908,42.29102241866399,13386.069955813906,-502.2928011105689,3144439.357920845,-15335.789070782717,1014537.4034964201,8698862.097002663,-163655.41398276616,2430123.485925777,5364.5533891926825,550023.6136128753,-2938.255493314704,11294.41839535049,6705342.10807481,-126032.59320995903,5569.017518763503,-11.039483649063186,6576.212682298326
2026-06-02,2026-07-17,-64.04539133620528,0.13467237901976137,1693898.8612164822,-174357.2768227551,135783.67079343973,1011969.4957762007,999498.1328836377,7827.709387319497,-485.74777313921186,20.63914928285729,-51669.0507927062,349635.865070838,-530.5452842681734,93.16004757743349,-480.10023699544894,12522.495865986995,79.55180115970464,44.05345251125361,14151.990420277567,-485.25466963633806,4329737.961785183,22642.471881277626,1019502.4008024754,11818825.438828394,-208837.88730894332,2573994.688611096,3912.7333072462134,1187718.420382347,-16739.96702084114,11872.15112154667,6980745.409566927,-123228.11580048144,164.06563992727024,59.77058792858156,2066.5144657212077
2026-06-03,2026-07-17,55.74406203450144,0.2278722544435241,1862596.987284843,-784729.4818136264,86046.9051353517,2696860.058403983,998459.7366878781,4819.799823422087,-632.9568441466599,-23.483068447030774,-378854.19238229794,2300488.5400106316,12413.087508159984,-1498.4556805251882,-1341.424643845046,13691.82811903523,113.31768342734642,39.96077383618059,15236.36340173966,-513.0211963059403,4260780.738190909,-181277.96670810087,1015097.7272172552,12633979.814500827,-224527.20555102517,2435318.508128374,2427.3560334639187,2191046.4520520084,-10373.340402421221,9018.864032373742,6869815.661009631,-120359.53607228435,-4374.542057419618,76.26797093442019,148642.1208340971
2026-06-04,2026-07-17,17.59560308631808,0.20043883084858416,1981533.5313357199,-1099527.1435811687,-11287.735684674,3217963.5759145236,1006754.1783807597,13284.741233329798,-232.4095921920034,3.8711625302184984,-532951.4879195923,3569646.0159332883,14638.775686629891,-1703.4077851955458,-1448.0246353954938,13985.563157967612,129.3357552665882,40.698618153181755,16011.886836649293,-520.4290470683276,4454356.513880648,-285012.1774112056,1023844.0388522821,13698198.461625671,-233439.58693507581,2463838.9771108464,6659.17881009401,2371609.368485434,1329.1162445524242,9099.735480644791,7111220.66738584,-118603.80975654157,1874.8160293157562,27.343365808922727,187045.76905425108
2026-06-05,2026-08-21,17.88575593252699,0.09451815654104645,4308483.996939434,-4685529.116701154,-630419.3045895163,4132922.7416083934,1001610.557398636,93666.0179721145,709.8051671321773,440.63250812206735,-1084904.3128691525,3335712.0339168957,51513.18620354077,-10820.460576926249,-1492.7598449067987,7322.733698975206,158.49624020102152,28.42436352380068,4759.392159970819,-763.2252157974797,5671639.109143816,-734517.2064672885,1028881.120717399,14084161.261032578,-908913.8913425938,1671649.5861883427,46832.3355019649,433921.3803142365,132992.76315947884,9956.19763452112,3451718.049668681,-211298.76767502344,28773.724867620986,-149.74427344338937,473055.7931330934
2026-06-08,2026-07-17,44.74222343950714,0.6762263841188166,2948541.8089671438,1766585.6599552492,876080.616047652,5625839.183612357,931229.481792534,52643.097712182105,4454.831579304439,125.2639419890512,532891.8316523307,5213975.935674046,-254.82476928574397,138.95057943753,-1292.042089605106,12588.892186148827,236.7172758917075,31.883341956870737,17234.6702247438,-560.3971038368697,4755823.474940766,768542.1610964474,945231.6328685741,20476674.552939765,-315044.73939146026,1711397.067003162,26341.737123457795,10771185.457582518,-93608.15948715521,5524.7893418210915,6700042.471285025,-99500.74271466397,54032.00324942113,-475.967799635251,-59324.12639004248
2026-06-09,2026-08-21,19.21857739977804,0.4010104797230972,3667857.611723972,-2872675.20114821,217124.6150090485,4947655.561302692,1010365.4686301504,9808.347245892219,-4717.322457515102,-79.92228158202707,-733112.7047658011,2007315.2597888093,47953.76406766156,-9597.063884333082,-2137.392683651669,8137.963956891971,150.2889435009824,30.225174010557225,5470.490052658613,-603.8437181479443,4937350.326326536,-334542.17781129666,1039280.7073794815,13090905.997026743,-733576.6460285973,1776383.6821763653,4905.788903193075,2374006.838831858,-43424.369931195804,8250.642030559013,3749084.4045569473,-202072.40824850145,-16057.736528018984,943.4480498331468,386391.22124095605
2026-06-10,2026-08-21,65.07540316219274,0.2885813410600841,3348222.674314739,-2573157.404715308,-12207.058555382537,6206064.1250907425,1019395.2313194661,64919.977075388015,768.4269356344303,203.97218201000257,-762561.8801378626,3173567.3243538234,55069.316984675745,-10817.934202754659,-1726.1249100131677,8182.1737834850555,212.01697242501257,33.797512815789055,5683.626052892944,-604.6176239091739,4541905.246469808,-374648.02161280205,1043770.71594517,12023949.079435391,-660466.1519517691,1944162.4437033264,32458.582105981004,3033895.1399091473,2407.9854905484826,10357.401881099693,3938443.359030258,-201086.2532525271,18106.808796438425,-151.57641456898114,429593.5557902595
2026-06-11,2026-08-21,56.4256678425395,0.16949947867518755,3423973.7785105444,-3655516.0206594337,-391095.45355579513,7515830.056646876,1001385.7518989034,76896.12893431011,3990.2704808077433,206.0199563341782,-1031539.1335843852,4730143.017861071,78360.14537142924,-15189.193113150799,-1559.9891901311346,7874.691382137598,262.3898181695699,34.34288190734124,5649.576358194317,-555.6335213652314,4039785.687964676,-730772.2663151824,1022889.6180913053,12078439.951350963,-666031.7809896102,1926331.406366319,38447.48251825095,3154770.2724191407,76076.21595346683,10108.358800838714,3955876.212848274,-194790.35741158223,31325.50502247508,-776.1551750626197,603493.7107167124
2026-06-12,2026-08-21,-1.7665016215660216,0.08405765778760388,2554746.2779417373,-2380150.7640926456,-332032.6280815569,2938348.977703537,998198.7397994576,12748.735632787459,-2084.978465283526,0.5742140941559626,-692677.4200793761,2022153.0741096956,41531.67554079571,-7920.183027939247,-1144.0113031510282,8322.775759653945,118.1492148887867,34.480922837949265,5946.465177107018,-575.0037034071257,4456313.724697163,-643342.9332458014,1022241.4338176439,10035609.609871268,-489946.8044931338,1984383.465160088,6382.404137675701,340757.7932832632,63678.05847470893,10051.263172306533,4034882.972062744,-191436.04851218616,-5470.60405898968,399.89212435934905,349401.50176307076
