date,code,expiry,asset_type,qty,k,volume,price,option_type,strike,spot,FUTURES_CONTRACTS,FUTURES_MULTIPLIER,FUTURES_MARGIN_RATE,POSITION_MARGIN
2026-06-01,IM_20260717,2026-07-17,FUTURE,-20,0.0,,8235.2,,,8345.1291,-20,200.0,0.08,2635264.0
2026-06-02,IM_20260717,2026-07-17,FUTURE,-20,0.0,,8256.0,,,8384.7812,-20,200.0,0.08,2641920.0
2026-06-03,IM_20260717,2026-07-17,FUTURE,-21,0.0,,8295.8,,,8432.679,-21,200.0,0.08,2787388.8000000003
2026-06-04,IM_20260717,2026-07-17,FUTURE,-22,0.0,,8284.0,,,8420.0946,-22,200.0,0.08,2915968.0
2026-06-05,IM_20260821,2026-08-21,FUTURE,-18,0.0,,8197.731728545441,,,8340.9631,-18,200.0,0.08,2360946.7378210872
2026-06-08,IM_20260717,2026-07-17,FUTURE,-26,0.0,,8000.6,,,8081.2614,-26,200.0,0.08,3328249.6
2026-06-09,IM_20260821,2026-08-21,FUTURE,-15,0.0,,8183.208726445433,,,8318.6978,-15,200.0,0.08,1963970.094346904
2026-06-10,IM_20260821,2026-08-21,FUTURE,-15,0.0,,8067.002660517105,,,8198.7232,-15,200.0,0.08,1936080.6385241053
2026-06-11,IM_20260821,2026-08-21,FUTURE,-14,0.0,,8030.171334165508,,,8159.4548,-14,200.0,0.08,1798758.3788530738
2026-06-12,IM_20260821,2026-08-21,FUTURE,-15,0.0,,8074.645051677579,,,8202.7991,-15,200.0,0.08,1937914.812402619
2026-06-15,IM_20260918,2026-09-18,FUTURE,-8,0.0,,8244.6,,,8521.233,-8,200.0,0.08,1055308.8
2026-06-16,IM_20260918,2026-09-18,FUTURE,-8,0.0,,8349.0,,,8646.4034,-8,200.0,0.08,1068672.0
2026-06-17,IM_20260918,2026-09-18,FUTURE,-8,0.0,,8445.0,,,8704.4677,-8,200.0,0.08,1080960.0
2026-06-18,IM_20260918,2026-09-18,FUTURE,-8,0.0,,8510.0,,,8771.0244,-8,200.0,0.08,1089280.0
2026-06-22,IM_20260918,2026-09-18,FUTURE,-9,0.0,,8524.2,,,8865.676,-9,200.0,0.08,1227484.8
2026-06-23,IM_20260821,2026-08-21,FUTURE,-13,0.0,,8515.0,,,8680.0387,-13,200.0,0.08,1771120.0
2026-06-24,IM_20260918,2026-09-18,FUTURE,-9,0.0,,8472.4,,,8793.4866,-9,200.0,0.08,1220025.5999999999
2026-06-25,IM_20260918,2026-09-18,FUTURE,-10,0.0,,8523.8,,,8825.9201,-10,200.0,0.08,1363808.0
2026-06-26,IM_20260918,2026-09-18,FUTURE,-10,0.0,,8319.2,,,8601.4075,-10,200.0,0.08,1331072.0
2026-06-29,IM_20260918,2026-09-18,FUTURE,-10,0.0,,8308.6,,,8597.8932,-10,200.0,0.08,1329376.0
2026-06-30,IM_20260918,2026-09-18,FUTURE,-10,0.0,,8504.2,,,8809.7859,-10,200.0,0.08,1360672.0
2026-07-01,IM_20260821,2026-08-21,FUTURE,17,0.0,,8620.6,,,8876.6303,17,200.0,0.08,2344803.2
2026-07-02,IM_20260821,2026-08-21,FUTURE,18,0.0,,8473.0,,,8625.3336,18,200.0,0.08,2440224.0
2026-07-03,IM_20260918,2026-09-18,FUTURE,11,0.0,,8373.0,,,8620.7886,11,200.0,0.08,1473648.0
2026-07-06,IM_20260918,2026-09-18,FUTURE,11,0.0,,8265.0,,,8472.6028,11,200.0,0.08,1454640.0
2026-07-07,IM_20260918,2026-09-18,FUTURE,12,0.0,,8115.2,,,8301.8035,12,200.0,0.08,1558118.4000000001
2026-07-08,IM_20261218,2026-12-18,FUTURE,6,0.0,,7740.2,,,8117.8607,6,200.0,0.08,743059.2000000001
2026-07-09,IM_20260821,2026-08-21,FUTURE,23,0.0,,8207.0,,,8300.077,23,200.0,0.08,3020176.0
2026-07-10,IM_20260821,2026-08-21,FUTURE,22,0.0,,8099.2,,,8198.3078,22,200.0,0.08,2850918.4
2026-07-13,IM_20261218,2026-12-18,FUTURE,7,0.0,,7459.6,,,7787.8529,7,200.0,0.08,835475.2000000001
2026-07-14,IM_20260918,2026-09-18,FUTURE,12,0.0,,7788.0,,,7925.1232,12,200.0,0.08,1495296.0
2026-07-15,IM_20260918,2026-09-18,FUTURE,13,0.0,,7723.2,,,7817.8313,13,200.0,0.08,1606425.6
2026-07-16,IM_20261218,2026-12-18,FUTURE,7,0.0,,7347.0,,,7631.7622,7,200.0,0.08,822864.0
2026-07-17,IM_20261218,2026-12-18,FUTURE,10,0.0,,6866.0,,,7167.9959,10,200.0,0.08,1098560.0
2026-07-20,IM_20260918,2026-09-18,FUTURE,14,0.0,,6849.8,,,6965.3757,14,200.0,0.08,1534355.2
2026-07-21,IM_20261016,2026-10-16,FUTURE,15,0.0,,7094.740291365213,,,7259.863,15,200.0,0.08,1702737.669927651
2026-07-22,IM_20261016,2026-10-16,FUTURE,15,0.0,,6997.789317990064,,,7158.7622,15,200.0,0.08,1679469.4363176152
2026-07-23,IM_20260918,2026-09-18,FUTURE,16,0.0,,7071.6,,,7195.4997,16,200.0,0.08,1810329.6
2026-07-24,IM_20260918,2026-09-18,FUTURE,19,0.0,,6880.2,,,6995.6931,19,200.0,0.08,2091580.8
2026-07-27,IM_20261016,2026-10-16,FUTURE,11,0.0,,7075.5866407743815,,,7228.7845,11,200.0,0.08,1245303.248776291
2026-07-28,IM_20260918,2026-09-18,FUTURE,19,0.0,,6943.2,,,7026.2761,19,200.0,0.08,2110732.8
