date,FUTURES_MARGIN,FUTURES_CONTRACTS,ABS_FUTURES_CONTRACTS
2026-06-01,2635264.0,-20,20
2026-06-02,2641920.0,-20,20
2026-06-03,2787388.8000000003,-21,21
2026-06-04,2915968.0,-22,22
2026-06-05,2360946.7378210872,-18,18
2026-06-08,3328249.6,-26,26
2026-06-09,1963970.094346904,-15,15
2026-06-10,1936080.6385241053,-15,15
2026-06-11,1798758.3788530738,-14,14
2026-06-12,1937914.812402619,-15,15
2026-06-15,1055308.8,-8,8
2026-06-16,1068672.0,-8,8
2026-06-17,1080960.0,-8,8
2026-06-18,1089280.0,-8,8
2026-06-22,1227484.8,-9,9
2026-06-23,1771120.0,-13,13
2026-06-24,1220025.5999999999,-9,9
2026-06-25,1363808.0,-10,10
2026-06-26,1331072.0,-10,10
2026-06-29,1329376.0,-10,10
2026-06-30,1360672.0,-10,10
2026-07-01,2344803.2,17,17
2026-07-02,2440224.0,18,18
2026-07-03,1473648.0,11,11
2026-07-06,1454640.0,11,11
2026-07-07,1558118.4000000001,12,12
2026-07-08,743059.2000000001,6,6
2026-07-09,3020176.0,23,23
2026-07-10,2850918.4,22,22
2026-07-13,835475.2000000001,7,7
2026-07-14,1495296.0,12,12
2026-07-15,1606425.6,13,13
2026-07-16,822864.0,7,7
2026-07-17,1098560.0,10,10
2026-07-20,1534355.2,14,14
2026-07-21,1702737.669927651,15,15
2026-07-22,1679469.4363176152,15,15
2026-07-23,1810329.6,16,16
2026-07-24,2091580.8,19,19
2026-07-27,1245303.248776291,11,11
2026-07-28,2110732.8,19,19
