date,OPTION_MARGIN,SHORT_OPTION_CONTRACTS,LONG_OPTION_CONTRACTS
2026-06-01,5513418.855400001,86,81
2026-06-02,5499703.727200001,87,83
2026-06-03,6140773.291999999,93,90
2026-06-04,6208318.8884,95,92
2026-06-05,4621250.332,63,59
2026-06-08,6166493.004799999,91,103
2026-06-09,4119378.7155999998,57,57
2026-06-10,4106295.7696,58,59
2026-06-11,3913863.0472,56,56
2026-06-12,4188107.0857999995,61,56
2026-06-15,2691323.318,41,39
2026-06-16,2601238.3956,39,36
2026-06-17,2726545.5141999996,39,35
2026-06-18,2784756.9751999998,40,36
2026-06-22,2772076.296,41,37
2026-06-23,4158270.742800001,62,58
2026-06-24,3025681.7604,44,39
2026-06-25,3077936.9488,44,42
2026-06-26,3078690.8049999997,45,44
2026-06-29,3187538.0392000005,47,44
2026-06-30,3328178.59,48,44
2026-07-01,5982137.609600004,74,77
2026-07-02,5792874.84,76,81
2026-07-03,3632463.0992,49,50
2026-07-06,3460151.6016000006,50,52
2026-07-07,3792839.3279999997,55,56
2026-07-08,1902118.2128,25,27
2026-07-09,6437271.849999998,92,98
2026-07-10,6619638.010800002,95,100
2026-07-13,1996296.719,26,27
2026-07-14,3612939.6672,55,58
2026-07-15,3646419.9538,57,58
2026-07-16,2062270.0156,27,28
2026-07-17,2642945.3514,37,28
2026-07-20,3770208.1781999995,62,47
2026-07-21,3586921.9020000002,49,52
2026-07-22,3498830.7176,51,56
2026-07-23,4058434.0490000006,69,71
2026-07-24,4664086.237200001,76,73
2026-07-27,2611177.229,46,50
2026-07-28,4575041.967,76,77
