date,code,expiry,asset_type,qty,k,volume,price,option_type,strike,spot
2026-06-01,MO2607-P-7400.CFE,2026-07-17,OPTION,-27,-0.10693764970622899,1152.0,62.6,PUT,7400.0,8345.1291
2026-06-01,MO2607-P-7600.CFE,2026-07-17,OPTION,-25,-0.08026940262406776,694.0,99.6,PUT,7600.0,8345.1291
2026-06-01,MO2607-P-7800.CFE,2026-07-17,OPTION,-21,-0.05429391622080708,974.0,147.2,PUT,7800.0,8345.1291
2026-06-01,MO2607-P-8000.CFE,2026-07-17,OPTION,-13,-0.02897610823651718,1552.0,213.8,PUT,8000.0,8345.1291
2026-06-01,MO2607-C-8300.CFE,2026-07-17,OPTION,2,0.007837864886199055,989.0,301.4,CALL,8300.0,8345.1291
2026-06-01,MO2607-C-8500.CFE,2026-07-17,OPTION,12,0.03164851357991761,1548.0,218.0,CALL,8500.0,8345.1291
2026-06-01,MO2607-C-8700.CFE,2026-07-17,OPTION,19,0.054905375744184894,1162.0,155.0,CALL,8700.0,8345.1291
2026-06-01,MO2607-C-8900.CFE,2026-07-17,OPTION,23,0.07763362682174103,524.0,107.8,CALL,8900.0,8345.1291
2026-06-01,MO2607-C-9200.CFE,2026-07-17,OPTION,25,0.11078583413864143,283.0,60.0,CALL,9200.0,8345.1291
2026-06-01,IM_20260717,2026-07-17,FUTURE,-20,0.0,,8235.2,,,8345.1291
2026-06-02,MO2607-P-7400.CFE,2026-07-17,OPTION,-26,-0.10946020852908281,1388.0,58.0,PUT,7400.0,8384.7812
2026-06-02,MO2607-P-7600.CFE,2026-07-17,OPTION,-25,-0.08279196144692155,717.0,91.0,PUT,7600.0,8384.7812
2026-06-02,MO2607-P-7800.CFE,2026-07-17,OPTION,-22,-0.05681647504366085,887.0,136.0,PUT,7800.0,8384.7812
2026-06-02,MO2607-P-8000.CFE,2026-07-17,OPTION,-14,-0.03149866705937105,1605.0,199.8,PUT,8000.0,8384.7812
2026-06-02,MO2607-C-8300.CFE,2026-07-17,OPTION,1,0.005315306063345219,2789.0,300.8,CALL,8300.0,8384.7812
2026-06-02,MO2607-C-8500.CFE,2026-07-17,OPTION,11,0.029125954757063796,1013.0,216.6,CALL,8500.0,8384.7812
2026-06-02,MO2607-C-8700.CFE,2026-07-17,OPTION,19,0.0523828169213311,1229.0,150.0,CALL,8700.0,8384.7812
2026-06-02,MO2607-C-8900.CFE,2026-07-17,OPTION,25,0.07511106799888725,647.0,102.6,CALL,8900.0,8384.7812
2026-06-02,MO2607-C-9200.CFE,2026-07-17,OPTION,27,0.1082632753157877,300.0,57.0,CALL,9200.0,8384.7812
2026-06-02,IM_20260717,2026-07-17,FUTURE,-20,0.0,,8256.0,,,8384.7812
2026-06-03,MO2607-P-7500.CFE,2026-07-17,OPTION,-29,-0.1008463420905015,789.0,63.6,PUT,7500.0,8432.679
2026-06-03,MO2607-P-7700.CFE,2026-07-17,OPTION,-27,-0.07452903377312808,463.0,97.6,PUT,7700.0,8432.679
2026-06-03,MO2607-P-7900.CFE,2026-07-17,OPTION,-22,-0.04888660315979044,835.0,146.0,PUT,7900.0,8432.679
2026-06-03,MO2607-P-8100.CFE,2026-07-17,OPTION,-13,-0.02388530095437316,653.0,214.4,PUT,8100.0,8432.679
2026-06-03,MO2607-C-8300.CFE,2026-07-17,OPTION,-2,0.0005061521697858968,2925.0,305.0,CALL,8300.0,8432.679
2026-06-03,MO2607-C-8500.CFE,2026-07-17,OPTION,11,0.024316800863504545,1510.0,215.2,CALL,8500.0,8432.679
2026-06-03,MO2607-C-8700.CFE,2026-07-17,OPTION,21,0.04757366302777171,3365.0,147.4,CALL,8700.0,8432.679
2026-06-03,MO2607-C-8900.CFE,2026-07-17,OPTION,28,0.07030191410532795,752.0,97.8,CALL,8900.0,8432.679
2026-06-03,MO2607-C-9100.CFE,2026-07-17,OPTION,30,0.09252505089003805,528.0,63.2,CALL,9100.0,8432.679
2026-06-03,IM_20260717,2026-07-17,FUTURE,-21,0.0,,8295.8,,,8432.679
2026-06-04,MO2607-P-7500.CFE,2026-07-17,OPTION,-30,-0.09942292299107301,300.0,63.8,PUT,7500.0,8420.0946
2026-06-04,MO2607-P-7700.CFE,2026-07-17,OPTION,-28,-0.07310561467369954,284.0,98.6,PUT,7700.0,8420.0946
2026-06-04,MO2607-P-7900.CFE,2026-07-17,OPTION,-23,-0.04746318406036194,363.0,148.0,PUT,7900.0,8420.0946
2026-06-04,MO2607-P-8100.CFE,2026-07-17,OPTION,-13,-0.02246188185494461,670.0,215.2,PUT,8100.0,8420.0946
2026-06-04,MO2607-C-8300.CFE,2026-07-17,OPTION,-1,0.0019295712692146056,1838.0,300.6,CALL,8300.0,8420.0946
2026-06-04,MO2607-C-8500.CFE,2026-07-17,OPTION,12,0.025740219962933086,1586.0,208.6,CALL,8500.0,8420.0946
2026-06-04,MO2607-C-8700.CFE,2026-07-17,OPTION,22,0.048997082127200296,953.0,142.4,CALL,8700.0,8420.0946
2026-06-04,MO2607-C-8900.CFE,2026-07-17,OPTION,28,0.07172533320475637,644.0,92.0,CALL,8900.0,8420.0946
2026-06-04,MO2607-C-9100.CFE,2026-07-17,OPTION,30,0.09394846998946674,242.0,58.4,CALL,9100.0,8420.0946
2026-06-04,IM_20260717,2026-07-17,FUTURE,-22,0.0,,8284.0,,,8420.0946
2026-06-05,MO2608-P-7500.CFE,2026-08-21,OPTION,-22,-0.08895447699192861,635.0,170.2,PUT,7500.0,8340.9631
2026-06-05,MO2608-P-7600.CFE,2026-08-21,OPTION,-20,-0.07570925024190799,261.0,197.0,PUT,7600.0,8340.9631
2026-06-05,MO2608-P-7800.CFE,2026-08-21,OPTION,-14,-0.04973376383864736,146.0,256.4,PUT,7800.0,8340.9631
2026-06-05,MO2608-P-8000.CFE,2026-08-21,OPTION,-7,-0.02441595585435751,189.0,327.6,PUT,8000.0,8340.9631
2026-06-05,MO2608-C-8300.CFE,2026-08-21,OPTION,4,0.012398017268358763,109.0,337.6,CALL,8300.0,8340.9631
2026-06-05,MO2608-C-8400.CFE,2026-08-21,OPTION,7,0.02437420831507455,236.0,297.6,CALL,8400.0,8340.9631
2026-06-05,MO2608-C-8500.CFE,2026-08-21,OPTION,11,0.03620866596207749,399.0,255.8,CALL,8500.0,8340.9631
2026-06-05,MO2608-C-8700.CFE,2026-08-21,OPTION,16,0.05946552812634472,140.0,192.8,CALL,8700.0,8340.9631
2026-06-05,MO2608-C-9300.CFE,2026-08-21,OPTION,21,0.12615690262501686,111.0,81.2,CALL,9300.0,8340.9631
2026-06-05,IM_20260821,2026-08-21,FUTURE,-18,0.0,,8197.731728545441,,,8340.9631
2026-06-08,MO2607-P-7400.CFE,2026-07-17,OPTION,-30,-0.07803653865735247,3045.0,98.4,PUT,7400.0,8081.2614
2026-06-08,MO2607-P-7500.CFE,2026-07-17,OPTION,-30,-0.06461351832521181,1459.0,121.4,PUT,7500.0,8081.2614
2026-06-08,MO2607-P-7700.CFE,2026-07-17,OPTION,-23,-0.03829621000783847,1224.0,178.4,PUT,7700.0,8081.2614
2026-06-08,MO2607-P-7900.CFE,2026-07-17,OPTION,-8,-0.012653779394500771,1371.0,254.0,PUT,7900.0,8081.2614
2026-06-08,MO2607-C-8100.CFE,2026-07-17,OPTION,7,0.01234752281091644,1602.0,257.8,CALL,8100.0,8081.2614
2026-06-08,MO2607-C-8200.CFE,2026-07-17,OPTION,13,0.024617615402730757,1793.0,215.0,CALL,8200.0,8081.2614
2026-06-08,MO2607-C-8400.CFE,2026-07-17,OPTION,24,0.048715166981791416,1615.0,144.2,CALL,8400.0,8081.2614
2026-06-08,MO2607-C-8600.CFE,2026-07-17,OPTION,29,0.07224566439198547,1715.0,96.0,CALL,8600.0,8081.2614
2026-06-08,MO2607-C-8800.CFE,2026-07-17,OPTION,30,0.09523518261668415,1844.0,63.2,CALL,8800.0,8081.2614
2026-06-08,IM_20260717,2026-07-17,FUTURE,-26,0.0,,8000.6,,,8081.2614
2026-06-09,MO2608-P-7200.CFE,2026-08-21,OPTION,-15,-0.12800331252353464,216.0,111.6,PUT,7200.0,8318.6978
2026-06-09,MO2608-P-7500.CFE,2026-08-21,OPTION,-16,-0.08718131800327954,273.0,169.0,PUT,7500.0,8318.6978
