date,OPTION_MARGIN,SHORT_OPTION_CONTRACTS,LONG_OPTION_CONTRACTS,FUTURES_MARGIN,FUTURES_CONTRACTS,ABS_FUTURES_CONTRACTS,TOTAL_MARGIN
2026-06-01,5513418.855400001,86,81,2635264.0,-20,20,8148682.855400001
2026-06-02,5499703.727200001,87,83,2641920.0,-20,20,8141623.727200001
2026-06-03,6140773.291999999,93,90,2787388.8000000003,-21,21,8928162.092
2026-06-04,6208318.8884,95,92,2915968.0,-22,22,9124286.8884
2026-06-05,4621250.332,63,59,2360946.7378210872,-18,18,6982197.069821088
2026-06-08,6166493.004799999,91,103,3328249.6,-26,26,9494742.604799999
2026-06-09,4119378.7155999998,57,57,1963970.094346904,-15,15,6083348.809946904
2026-06-10,4106295.7696,58,59,1936080.6385241053,-15,15,6042376.408124106
2026-06-11,3913863.0472,56,56,1798758.3788530738,-14,14,5712621.426053073
2026-06-12,4188107.0857999995,61,56,1937914.812402619,-15,15,6126021.898202619
2026-06-15,2691323.318,41,39,1055308.8,-8,8,3746632.118
2026-06-16,2601238.3956,39,36,1068672.0,-8,8,3669910.3956
2026-06-17,2726545.5141999996,39,35,1080960.0,-8,8,3807505.5141999996
2026-06-18,2784756.9751999998,40,36,1089280.0,-8,8,3874036.9751999998
2026-06-22,2772076.296,41,37,1227484.8,-9,9,3999561.096
2026-06-23,4158270.742800001,62,58,1771120.0,-13,13,5929390.742800001
2026-06-24,3025681.7604,44,39,1220025.5999999999,-9,9,4245707.3604
2026-06-25,3077936.9488,44,42,1363808.0,-10,10,4441744.948799999
2026-06-26,3078690.8049999997,45,44,1331072.0,-10,10,4409762.805
2026-06-29,3187538.0392000005,47,44,1329376.0,-10,10,4516914.0392
2026-06-30,3328178.59,48,44,1360672.0,-10,10,4688850.59
2026-07-01,5982137.609600004,74,77,2344803.2,17,17,8326940.809600004
2026-07-02,5792874.84,76,81,2440224.0,18,18,8233098.84
2026-07-03,3632463.0992,49,50,1473648.0,11,11,5106111.0992
2026-07-06,3460151.6016000006,50,52,1454640.0,11,11,4914791.601600001
2026-07-07,3792839.3279999997,55,56,1558118.4000000001,12,12,5350957.728
2026-07-08,1902118.2128,25,27,743059.2000000001,6,6,2645177.4128
2026-07-09,6437271.849999998,92,98,3020176.0,23,23,9457447.849999998
2026-07-10,6619638.010800002,95,100,2850918.4,22,22,9470556.410800003
2026-07-13,1996296.719,26,27,835475.2000000001,7,7,2831771.919
2026-07-14,3612939.6672,55,58,1495296.0,12,12,5108235.6672
2026-07-15,3646419.9538,57,58,1606425.6,13,13,5252845.5538
2026-07-16,2062270.0156,27,28,822864.0,7,7,2885134.0156
2026-07-17,2642945.3514,37,28,1098560.0,10,10,3741505.3514
2026-07-20,3770208.1781999995,62,47,1534355.2,14,14,5304563.378199999
2026-07-21,3586921.9020000002,49,52,1702737.669927651,15,15,5289659.571927652
2026-07-22,3498830.7176,51,56,1679469.4363176152,15,15,5178300.153917615
2026-07-23,4058434.0490000006,69,71,1810329.6,16,16,5868763.649
2026-07-24,4664086.237200001,76,73,2091580.8,19,19,6755667.037200001
2026-07-27,2611177.229,46,50,1245303.248776291,11,11,3856480.477776291
2026-07-28,4575041.967,76,77,2110732.8,19,19,6685774.767
