date,expiry,DELTA_EXPOSURE,GAMMA_EXPOSURE,ATMVOL_EXPOSURE,SKEW_EXPOSURE,CURVATURE_EXPOSURE,RHO_EXPOSURE,THETA_EXPOSURE,ATMVOL_VANNA_EXPOSURE,ATMVOL_VOLGA_EXPOSURE,SMILE_ROLL_EXPOSURE
2026-06-01,2026-07-17,-14.416448650946677,0.04100872254254273,23314.609572307207,999980.5843822928,85.45772844628846,-118.96921096317965,-59663.896643698215,11930.286234745128,576133.4187194388,1298544.990687328
2026-06-02,2026-07-17,-64.04599282213076,0.13467254144077034,135783.67177686002,999498.1334501592,-485.7477738320613,-530.5452879996083,-51669.05079578236,12522.500809389287,1011970.2227978939,1693898.8607831225
2026-06-03,2026-07-17,55.74336486905304,0.22787244282358043,86046.90862157056,998459.7366561451,-632.956848540025,12413.087492599901,-378854.191686064,13691.834192731489,2696870.636452278,1862596.9872312918
2026-06-04,2026-07-17,17.594877217960857,0.20043899733848447,-11287.732047201367,1006754.1783945619,-232.40961512798276,14638.775699071644,-532951.4866551319,13985.569433327764,3217961.536006107,1981533.530778733
2026-06-05,2026-08-21,17.885548798831678,0.09451821308104424,-630419.301091921,1001610.5573613456,709.8051659157736,51513.186225534395,-1084904.3112420584,7322.7356038927965,4132919.405782599,4308483.996059907
2026-06-08,2026-07-17,44.7415725031542,0.6762265710450857,876080.6217941053,931229.4817123628,4454.831575955152,-254.82476384240726,532891.8345921324,12588.897686907323,5625838.631461106,2948541.8090259456
2026-06-09,2026-08-21,19.218335134576137,0.4010105682492213,217124.6221814407,1010365.4686464262,-4717.322460282901,47953.76405479534,-733112.7037514509,8137.966252183204,4947661.681331908,3667857.610956966
2026-06-10,2026-08-21,65.07515862125865,0.28858140276633043,-12207.051440936513,1019395.2312814455,768.4269366608496,55069.31696392229,-762561.8782741057,8182.175947263182,6206057.474831268,3348222.67371312
2026-06-11,2026-08-21,56.425430439678166,0.16949952928715162,-391095.4446895672,1001385.7518964745,3990.2704843409792,78360.1453603179,-1031539.1306410397,7874.693454933404,7515821.446094163,3423973.7778723617
2026-06-12,2026-08-21,-1.7667622628155186,0.08405772638742703,-332032.6240663242,998198.7398964554,-2084.9784623589076,41531.67554125808,-692677.4191191825,8322.778060512494,2938350.373271037,2554746.2778328625
2026-06-15,2026-09-18,42.92692611469283,0.049724341666950916,152500.6173660931,1024386.0812206294,3090.2834579001956,6799.518642782175,28422.623907934234,5732.3602884563925,2048439.2677829508,1098959.8141363687
2026-06-16,2026-09-18,-53.33018164187274,0.019982803764254792,38633.22141128825,1015405.5399050702,2508.7158986520335,9942.931052263368,-15977.988409670535,5420.099444998592,1392169.376151246,1195982.411362194
