"OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_OICHANGE","S_DQ_PRESETTLE","S_DQ_CHANGE1","S_DQ_CHANGE2","S_DQ_PCTCHANGE1","S_DQ_PCTCHANGE2","OPDATE","OPMODE"
{04D7036A-8759-4A3F-97C1-D5519B1149FD},MO2612-P-9400.CFE,"20260601",,,,1553,1655.8,0,0,117,0,1642.2,-89.2,13.6,-5.43,0.83,2026-06-01 16:30:52,"1"
{04E25921-48A7-44A7-A92D-680448282E73},MO2606-P-5400.CFE,"20260601",0.8,1,0.8,1,1,21,0.2,803,-19,1.2,-0.2,-0.2,-16.67,-16.67,2026-06-01 16:30:52,"1"
{05104025-AEF6-4C6F-8565-4D5D063D9D32},MO2612-P-6800.CFE,"20260601",193.4,215.8,192.8,211.8,211.8,176,364.62,702,24,211.6,0.2,0.2,0.09,0.09,2026-06-01 16:30:52,"1"
{0E40A91E-CA8F-42FA-BBC1-8F998A93531D},MO2606-C-6800.CFE,"20260601",1570.2,1616.8,1511.2,1511.2,1516.8,94,1469.32,586,6,1518.2,-7,-1.4,-0.46,-0.09,2026-06-01 16:30:52,"1"
{0E673B27-8189-4720-BCF8-1AD4392CA6D0},MO2612-C-7600.CFE,"20260601",836.4,869,795.6,795.6,794.8,46,385.688,1016,24,806.2,-10.6,-11.4,-1.31,-1.41,2026-06-01 16:30:52,"1"
{064E745A-8D0F-49C3-B3B9-E48CC07C3EC1},MO2612-C-9200.CFE,"20260601",242.2,252,221.8,226.2,226.8,126,296.258,888,41,229,-2.8,-2.2,-1.22,-0.96,2026-06-01 16:30:52,"1"
{06D8EF56-2F20-40C1-8689-0FB1C4B88F5F},MO2703-P-7400.CFE,"20260601",547.6,561.6,522,555.2,555.8,26,143.036,326,7,556.8,-1.6,-1,-0.29,-0.18,2026-06-01 16:30:52,"1"
{119ABCE7-58C4-4A6C-9113-7E08B792E2D6},MO2607-C-9000.CFE,"20260601",91,106.2,83.6,89.4,89.4,1483,1407.896,3640,113,95.8,-6.4,-6.4,-6.68,-6.68,2026-06-01 16:30:52,"1"
{09B0F1F3-FEFF-4E79-BF96-7EBD515FF41E},MO2703-C-9200.CFE,"20260601",302.8,316.6,293,300,297.4,19,57.318,147,-7,293.6,6.4,3.8,2.18,1.29,2026-06-01 16:30:52,"1"
{018CAD1B-B9EC-45B2-B1D1-6066B71AD155},MO2606-C-5600.CFE,"20260601",2763.2,2839.2,2716.4,2727.8,2714.6,46,1267.188,223,8,2726.6,1.2,-12,0.04,-0.44,2026-06-01 16:30:52,"1"
