"CODE","DAY","CCY","PRECLOSE","OPEN","HIGH","LOW","CLOSE","CHANGE","PCTCHANGE","VOLUME","AMOUNT","ADJPRECLOSE","ADJOPEN","ADJHIGH","ADJLOW","ADJCLOSE","ADJFACTOR","AVGPRICE","TRADESTATUS","TRADESTATUSCODE","LIMIT","STOPPING","PRESETTLE","SETTLE","OI","FS_INFO_TYPE","OPDATE","SOURCE","OICHANGE","DIRTYPRICE","NETPRICE","NAV","ADJNAV","NAV_ADJFACTOR","ROOT","BID","ASK","MID","FIRST_NOTICE_DAY","LAST_TRADING_DAY","PREHALFH_AVG_PRICE","ADJ_FACTOR_NET","ADJ_CLOSE_NET","DELTA","GAMMA","VEGA","THETA","RHO"
IM2703.CFE,"2026-07-20",,,6800,6857.8,6300,6489.8,-440.6,,12521,1651853.904,,,,,,,,,,,,6930.4,6433.2,11330,"2",2026-07-23 17:30:59,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2703.CFE,"2026-07-21",,,6540,6814.6,6308.8,6800.4,367.2,,14747,1949661.792,,,,,,,,,,,,6433.2,6772.8,14479,"2",2026-07-24 17:30:59,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2703.CFE,"2026-07-22",,,6784.6,6838,6623,6662.2,-110.6,,13317,1790804.328,,,,,,,,,,,,6772.8,6660.2,17861,"2",2026-07-24 17:30:59,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2703.CFE,"2026-07-23",,,6675,6785.6,6632.2,6699,38.8,,11041,1480532.88,,,,,,,,,,,,6660.2,6693.6,19433,"2",2026-07-26 17:30:39,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2703.CFE,"2026-07-24",,,6650,6682.6,6494.4,6512.6,-181,,13185,1731920.808,,,,,,,,,,,,6693.6,6526,22597,"2",2026-07-27 17:30:53,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2703.CFE,"2026-07-27",,,6511,6775,6510,6771.8,245.8,,11242,1498383.452,,,,,,,,,,,,6526,6727.8,23770,"2",2026-07-29 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2703.CFE,"2026-07-28",,,6694,6699.8,6525,6586,-141.8,,12222,1613778.476,,,,,,,,,,,,6727.8,6558,26213,"2",2026-07-29 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2703.CFE,"2026-07-29",,,6600.2,6734.2,6473.8,6715.6,157.6,,14832,1959289.76,,,,,,,,,,,,6558,6687,29541,"2",2026-07-29 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2606.CFE,"2026-06-01",,,8355,8450,8294.2,8305.8,-11.4,,185978,31109043.292,,,,,,,,,,,,8317.2,8316,219745,"2",2026-06-04 17:31:16,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2606.CFE,"2026-06-02",,,8343.8,8395,8190,8324.6,8.6,,175916,29215504.848,,,,,,,,,,,,8316,8337,210218,"2",2026-06-05 17:31:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
